TableName,RecordIDField,RecordID,FieldName,NewValue,ChangedAt,ChangedBy
molds,MoldID,5774,KeeperCompany,1,2026-04-08T09:55:39.121Z,9
molds,MoldID,5775,MoldUsageStatus,DISPOSED,2026-04-09T18:43:55.677Z,9
molds,MoldID,5776,MoldWeightModified,7.15,2026-04-07T05:32:19.334Z,9
molds,MoldID,5781,KeeperCompany,1540,2026-05-13,9
molds,MoldID,5781,MoldWeightModified,5.1,2026-04-12T23:58:08.366Z,9
molds,MoldID,5786,MoldWeightModified,3.3,2026-04-26T23:24:58.826Z,9
molds,MoldID,5787,MoldWeight,5.15,2026-05-27T05:27:09.219Z,9
molds,MoldID,5787,RackLayerID,175,2026-05-27T12:53:43.044Z,8
molds,MoldID,5787,MoldWeightModified,5.05,2026-04-26T23:32:43.573Z,9
molds,MoldID,5788,MoldWeight,5.05,2026-05-27T05:28:27.415Z,9
molds,MoldID,5788,RackLayerID,175,2026-05-27T12:54:08.950Z,8
molds,MoldID,5788,MoldWeightModified,5.05,2026-04-26T23:28:51.821Z,9
molds,MoldID,5789,KeeperCompany,7,2026-05-15T03:53:26.025Z,1
molds,MoldID,5789,MoldWeightModified,5.15,2026-04-26T23:26:44.647Z,9
molds,MoldID,5792,MoldWeightModified,8.0,2026-04-26T23:22:12.105Z,9
molds,MoldID,5793,MoldWeight,9.6,2026-07-09T04:47:56.012Z,
molds,MoldID,5793,RackLayerID,95,2026-05-15T09:03:42.111Z,9
molds,MoldID,5794,MoldWeight,12.5,2026-05-18T06:35:02.022Z,9
molds,MoldID,5794,RackLayerID,95,2026-05-15T08:31:53.880Z,9
molds,MoldID,5796,RackLayerID,233,2026-05-18T10:46:53.367Z,8
molds,MoldID,5797,MoldWeight,10.15,2026-05-27T04:02:25.095Z,9
molds,MoldID,5797,KeeperCompany,7,2026-05-27,1
molds,MoldID,5797,RackLayerID,233,2026-05-20T17:57:43.295Z,9
molds,MoldID,5799,MoldWeight,4.45,2026-05-25T08:40:03.338Z,9
molds,MoldID,5799,RackLayerID,670,2026-05-20T08:35:44.995Z,9
molds,MoldID,5800,MoldWeight,3.15,2026-07-14T05:01:27.176Z,9
molds,MoldID,5801,MoldWeight,3.15,2026-07-14T04:58:16.161Z,9
molds,MoldID,5802,KeeperCompany,1,2026-05-19,9
molds,MoldID,5802,MoldWeight,21.9,2026-05-19T06:14:10.312Z,9
molds,MoldID,5803,RackLayerID,711,2026-05-15T09:34:47.492Z,9
molds,MoldID,5804,KeeperCompany,1,2026-05-15,9
molds,MoldID,5804,MoldWeight,14.5,2026-05-15T02:13:39.721Z,9
molds,MoldID,5805,KeeperCompany,1,2026-05-15,9
molds,MoldID,5805,MoldWeight,14.8,2026-05-15T02:23:45.024Z,9
molds,MoldID,5806,MoldWeight,14.8,2026-05-18T23:45:53.043Z,9
molds,MoldID,5807,MoldWeight,14.15,2026-06-30T04:38:21.435Z,9
molds,MoldID,5808,KeeperCompany,1,2026-05-19,9
molds,MoldID,5808,MoldWeight,17.1,2026-05-19T06:08:10.375Z,9
molds,MoldID,5809,KeeperCompany,1,2026-05-20,9
molds,MoldID,5809,MoldWeight,14.3,2026-05-20T04:30:50.718Z,9
molds,MoldID,5810,MoldWeight,9.3,2026-05-21T23:43:28.236Z,9
molds,MoldID,5811,MoldWeight,5.3,2026-05-25T07:15:44.128Z,9
molds,MoldID,5812,MoldWeight,9.8,2026-05-21T23:41:04.512Z,9
molds,MoldID,5813,KeeperCompany,1,2026-05-22,9
molds,MoldID,5813,MoldWeight,13.2,2026-05-21T23:47:30.951Z,9
molds,MoldID,5815,KeeperCompany,1,2026-05-22,9
molds,MoldID,5815,MoldWeight,14.3,2026-05-22T06:21:34.747Z,9
molds,MoldID,5816,RackLayerID,233,2026-05-27T13:28:38.708Z,8
molds,MoldID,5816,MoldWeight,9.35,2026-05-26T23:25:27.548Z,9
molds,MoldID,5817,KeeperCompany,1,2026-05-25,9
molds,MoldID,5817,MoldWeight,14.3,2026-05-25T05:38:29.101Z,9
molds,MoldID,5820,MoldWeight,14.5,2026-07-15T04:46:17.912Z,9
molds,MoldID,5821,MoldWeight,14.6,2026-07-15T02:59:42.516Z,9
molds,MoldID,5835,MoldWeight,16.6,2026-06-23T05:06:10.162Z,9
molds,MoldID,5836,MoldWeight,16.9,2026-06-23T03:08:39.641Z,9
molds,MoldID,5837,MoldWeight,17.1,2026-06-23T03:17:47.042Z,9
molds,MoldID,5838,MoldWeight,16.5,2026-06-23T04:27:39.877Z,9
molds,MoldID,5841,RackLayerID,55,2026-07-08T09:36:50.773Z,9
molds,MoldID,5841,MoldWeight,7.05,2026-07-08T00:22:42.815Z,9
molds,MoldID,5842,RackLayerID,55,2026-07-08T09:37:06.627Z,9
molds,MoldID,5842,MoldWeight,7.2,2026-07-08T00:19:16.956Z,9
molds,MoldID,5844,RackLayerID,55,2026-07-08T09:37:19.748Z,9
molds,MoldID,5844,MoldWeight,7.15,2026-07-08T00:24:36.977Z,9
molds,MoldID,5845,MoldWeight,7.05,2026-07-08T00:00:42.612Z,9
molds,MoldID,5845,RackLayerID,233,2026-07-08T08:58:41.155Z,9
molds,MoldID,5846,RackLayerID,55,2026-07-08T09:37:38.080Z,9
molds,MoldID,5846,MoldWeight,8.35,2026-07-08T00:08:14.979Z,9
molds,MoldID,5847,RackLayerID,55,2026-07-08T09:35:07.407Z,9
molds,MoldID,5847,MoldWeight,8.25,2026-07-08T00:26:30.125Z,9
molds,MoldID,5848,RackLayerID,55,2026-07-08T09:35:24.933Z,9
molds,MoldID,5848,MoldWeight,7.8,2026-07-08T00:15:39.340Z,9
molds,MoldID,5849,RackLayerID,55,2026-07-08T09:35:43.137Z,9
molds,MoldID,5849,MoldWeight,7.85,2026-07-08T00:11:52.262Z,9
molds,MoldID,5850,RackLayerID,45,2026-07-08T09:36:00.971Z,9
molds,MoldID,5851,RackLayerID,45,2026-07-08T09:36:11.039Z,9
molds,MoldID,5851,MoldWeight,8.1,2026-06-23T04:41:51.669Z,9
molds,MoldID,5853,RackLayerID,55,2026-07-08T09:34:22.027Z,9
molds,MoldID,5853,MoldWeight,8.35,2026-06-26T02:09:06.071Z,
molds,MoldID,5854,RackLayerID,55,2026-07-08T09:34:40.619Z,9
molds,MoldID,5854,MoldWeight,8.35,2026-06-26T02:08:00.009Z,
molds,MoldID,5863,MoldWeight,8.35,2026-07-21T05:11:57.318Z,9
molds,MoldID,5864,MoldWeight,8.45,2026-07-21T05:11:17.903Z,9
