ShipID,CustomerID,ItemTypeID,ShipItemName,ShipDate,ToCompanyID,FromCompanyID,ShipItemType,ShipStatus,FromCompany,ToCompany,MoldID,CutterID,FrameID,OtherEquipID,WaterBaseID,ShipNotes,DateEntry,handler,EmployeeID,UpdatedAt,UpdatedBy
WEB_SHIP_1779674308629_k14zwnntf,,,,2026-05-25,2,7,,Vận chuyển,,,5754,,,,,テフロン加工後受取,2026-05-25T01:58:28.629Z,,1,,
WEB_SHIP_1779674305932_sejv3wh4w,,,,2026-05-25,7,2,,Vận chuyển,,,5754,,,,,テフロン加工へ発送,2026-05-25T01:58:25.932Z,,1,,
WEB_SHIP_1779443780806_lxh7d98fb,,,,2026-05-22,1,,,Vận chuyển,,,,3113,,,,金型・プラグ・抜型,2026-05-22T09:56:20.806Z,,9,,
WEB_SHIP_1779443744511_vsdgu2x5o,,,,2026-05-22,1,,,Vận chuyển,,,5813,,,,,金型・プラグ・抜型,2026-05-22T09:55:44.511Z,,9,,
WEB_SHIP_1779422587597_iy9d34xwb,,,,2026-05-22,2,3,,Vận chuyển,,,3034,,,,,,2026-05-22T04:03:07.598Z,,9,,
