plastic_id,plastic_code,plastic_family,plastic_subtype,thickness_mm,width_mm,standard_length_m,color_code_raw,color_name_normalized,electrical_property,silicone_status_normalized,additive_flags,additive_text_raw,appearance_text_raw,an_code_raw,an_meaning_normalized,si_code_raw,ab_code_raw,status_review,remarks_raw,is_active,created_by,created_at,updated_at
e7369eb6-cd38-4f07-ab78-61c011717fe9,PLA-0A85234E,PS,PST,1.18,520.0,200.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PST(N)1.18x520x200 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ad042650-de25-4d43-b2f9-8b4f45932e96,PLA-47B7DDFB,PS,,0.48,550.0,400.0,N,natural,conductive,,,,,AN,,,,approved,PS(N)0.48x550x400 AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
f7f6c4be-3a0c-4567-890b-2dcdf0b5db09,PLA-02EBCACF,PS,,0.78,405.0,250.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.78x405x250,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
798c2107-72d1-4e6c-bbd8-006d88d4f7d8,PLA-344A300F,PET,,0.78,520.0,200.0,CL,clear,conductive,,,,,AN,,,,approved,PET(CL)0.78x520x200m AN,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ed90251a-835f-42e0-87d3-42f72ca5c195,PLA-18E16C07,PS,PST,0.8,550.0,250.0,B,black,conductive,,,,,,,,,approved,PST(B)0.8x550x250 250m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
881828cf-5c15-406b-b2d7-74b38eaaf089,PLA-112FA9BF,PS,,0.58,405.0,350.0,N,natural,conductive,unknown,,,,AN,,SI,,approved,PS(N)0.58x405x350 AN Si,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
bb4c21e6-d945-40e1-a80c-8a87fe702469,PLA-9740F724,PS,,0.78,435.0,250.0,導電,,conductive,,,,,,,,,approved,PS(導電)0.78x435x250,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
ca9edfdd-7198-47f8-b4c3-e9239d103c2f,PLA-B62920FA,PET,,0.78,520.0,200.0,CL,clear,conductive,,,,,,,,,approved,PET(CL)0.78x520x200mSI,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
52592ed5-ad02-46eb-9f5a-ad5c6643ee2c,PLA-75A68694,PS,PST,0.8,640.0,100.0,B,black,conductive,,,,,,,,,approved,PST(B)0.8x640x100 65m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
2ca5e75b-1961-43fa-b31e-b17c6c81e03a,PLA-0CCD42CF,PS,PST,1.0,550.0,200.0,B,black,conductive,,,,,,,,,approved,PST(B)1.0x550x200 800m,1.0,System,2026-04-10 10:11:25,2026-04-10 10:11:25
