DataChangeID,TableName,RecordID,RecordIDField,FieldName,OldValue,NewValue,ChangedAt,ChangedBy,BaseValueAtEdit,BaseCommitID,BaseCommitAt,ChangeSource,ChangeNote,IsConflict,ResolvedValue,ResolvedAt,ResolvedBy
DCH1778838386690_cfuuctn4n,shiplog.csv,WEB_SHIP_1778838382752_cuz0q4cb9,ShipID,ShipID,,WEB_SHIP_1778838382752_cuz0q4cb9,2026-05-15,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1778838384997_jvvnm73hx,Cutters,3110,CutterID,KeeperCompany,,1,2026-05-15,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1778832905607_sdubsbx6q,shiplog.csv,WEB_SHIP_1778832901154_mzxw8k6pb,ShipID,ShipID,,WEB_SHIP_1778832901154_mzxw8k6pb,2026-05-15,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1778832903646_sy55yabvl,Molds,5805,MoldID,KeeperCompany,,1,2026-05-15,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1778831936637_gj9nyukjd,shiplog.csv,WEB_SHIP_1778831933050_kaywlphej,ShipID,ShipID,,WEB_SHIP_1778831933050_kaywlphej,2026-05-15,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1778831934956_uljyy7ih1,Cutters,3110,CutterID,KeeperCompany,,1,2026-05-15,9,,,,api/add-shiplog,金型・プラグ・抜型,FALSE,,,
DCH1778831630615_nniemr1gm,shiplog.csv,WEB_SHIP_1778831626152_sf4jyubl7,ShipID,ShipID,,WEB_SHIP_1778831626152_sf4jyubl7,2026-05-15,9,,,,api/add-shiplog,New shipment,FALSE,,,
DCH1778831628852_ngthg37wq,Molds,5804,MoldID,KeeperCompany,,1,2026-05-15,9,,,,api/add-shiplog,金型・プラグ・抜型　,FALSE,,,
DCH1778817206025h08ng,molds,5789,MoldID,KeeperCompany,,7,2026-05-15T03:53:26.025Z,1,,,,teflon_wizard,Keeper Update,FALSE,,,
DCH1778817206025b2ams,teflonlog,TL183817,TeflonLogID,TeflonStatus,Approved,Sent,2026-05-15T03:53:26.025Z,1,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1778817183817ug5gu,teflonlog,TL183817,TeflonLogID,TeflonStatus,,Requested,2026-05-15T03:53:03.817Z,1,,,,teflon_wizard,Wizard Update,FALSE,,,
DCH1778811828262uyljb,molds,5805,MoldID,MoldWeight,,14.8,2026-05-15T02:23:45.024Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1778811223415y77w7,molds,5804,MoldID,MoldWeight,,14.5,2026-05-15T02:13:39.721Z,9,,,,quick_update_v4,Wizard Update v4,FALSE,,,
DCH1778805287492_ao1pxbh76,molds,5803,MoldID,RackLayerID,,711,2026-05-15T09:34:47.492Z,9,,,,api/locationlog,Location change via /api/locationlog log=WEBLOC1778805282741_s8tgtapm9,FALSE,,,
