TeflonLogID,MoldID,TeflonStatus,RequestedBy,RequestedDate,ApprovedDate,ApprovedBy,SentBy,SentDate,ExpectedDate,ReceivedDate,SupplierID,CoatingType,Reason,TeflonCost,Quality,TeflonNotes,CreatedDate,UpdatedBy,UpdatedAt
,261,テフロン加工済,,,,,,1/5/2024,,1/11/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,263,テフロン加工済,,,,,,4/3/2023,,4/6/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,284,テフロン加工済,,,,,,9/5/2023,,9/8/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,384,テフロン加工済,,,,,,4/6/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,387,テフロン加工済,,,,,,10/12/2023,,10/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,396,テフロン加工済,,,,,,7/21/2023,,7/26/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,400,テフロン加工済,,,,,,10/12/2023,,10/17/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,499,テフロン加工済,,,,,,10/30/2023,,11/2/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,321,テフロン加工済,,,,,,6/21/2023,,,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,362,テフロン加工済,,,,,,2/6/2024,,2/9/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,705,テフロン加工済,,,,,,8/31/2023,,9/5/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,706,テフロン加工済,,,,,,8/31/2023,,9/5/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1028,テフロン加工済,,,,,,12/21/2023,,12/26/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1122,テフロン加工済,,,,,,9/27/2023,,10/2/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1125,テフロン加工済,,,,,,5/8/2024,,5/13/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1128,テフロン加工済,,,,,,11/28/2024,,12/3/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1132,テフロン加工済,,,,,,11/19/2024,,11/22/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1136,テフロン加工済,,,,,,3/17/2023,,3/23/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1137,テフロン加工済,,,,,,3/17/2023,,3/23/2023,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
,1138,テフロン加工済,,,,,,1/15/2024,,1/18/2024,7,テフロン加工済,Historical Data,,,,9/26/2025,,12/10/2025
