MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
29,313,1474,3105,05-Aug-24,
28,313,1480,3104,05-Aug-24,
30,314,2172,1498,05-Aug-24,
34,315,1137,3110,05-Aug-24,
35,315,2992,2075,05-Aug-24,
36,317,2175,1499,05-Aug-24,
37,318,1482,3113,05-Aug-24,
52,318,1485,3128,05-Aug-24,
38,319,1867,3114,05-Aug-24,
1064,319,2424,159,16-Aug-24,
2909,320,488,,12-Jul-25,
40,321,3109,2072,05-Aug-24,
41,322,1562,1513,05-Aug-24,
42,323,1589,917,05-Aug-24,
43,323,1590,926,05-Aug-24,
44,324,3481,122,05-Aug-24,
45,325,251,593,05-Aug-24,
46,326,1715,3122,05-Aug-24,
47,327,887,1582,05-Aug-24,
48,328,1144,3124,05-Aug-24,
49,329,1145,3125,05-Aug-24,
50,330,1563,1535,05-Aug-24,
51,331,3054,1230,05-Aug-24,
54,332,1486,3129,05-Aug-24,
55,333,1868,3130,05-Aug-24,
56,334,2503,3131,05-Aug-24,
57,335,3004,648,05-Aug-24,
260,336,670,2465,05-Aug-24,JAE-117B
261,336,675,3335,05-Aug-24,
300,337,107,3374,05-Aug-24,
308,338,403,1929,05-Aug-24,NOなしの箱の中
309,338,404,1928,05-Aug-24,NOなしの箱の中
310,338,405,1930,05-Aug-24,NOなしの箱の中
311,338,406,1931,05-Aug-24,NOなしの箱の中
307,338,3154,1916,05-Aug-24,
256,339,1432,802,05-Aug-24,
560,340,402,1987,16-Aug-24,
241,341,3193,64,05-Aug-24,
317,342,2142,699,05-Aug-24,
262,343,667,1960,05-Aug-24,
263,343,668,2214,05-Aug-24,
242,344,2313,1844,05-Aug-24,
288,345,3286,136,05-Aug-24,
266,346,2298,1954,05-Aug-24,
279,347,3217,3353,05-Aug-24,
277,348,3287,1900,05-Aug-24,
278,348,3289,1898,05-Aug-24,
1535,348,3290,3440,18-Sep-24,
233,349,82,1130,05-Aug-24,ADY-090?
239,350,421,3313,05-Aug-24,
240,350,422,3314,05-Aug-24,
225,351,74,2509,05-Aug-24,
226,352,2054,3300,05-Aug-24,
243,353,1016,2142,05-Aug-24,
341,354,292,3415,05-Aug-24,
342,354,293,3416,05-Aug-24,
271,355,104,4206,05-Aug-24,
282,356,2279,1976,05-Aug-24,
349,357,650,3423,05-Aug-24,
346,357,651,3420,05-Aug-24,
343,358,627,3417,05-Aug-24,
227,359,2208,2155,05-Aug-24,
244,360,1918,2097,05-Aug-24,
245,360,1919,1915,05-Aug-24,
237,361,655,3311,05-Aug-24,
236,362,1416,3310,05-Aug-24,
792,362,1460,3843,16-Aug-24,
231,363,2211,1923,05-Aug-24,
232,364,2839,3053,05-Aug-24,
321,365,3117,603,05-Aug-24,
86,366,1682,3023,05-Aug-24,
14,367,550,1066,05-Aug-24,
214,368,1197,3288,05-Aug-24,
215,368,1229,2800,05-Aug-24,
258,369,401,3332,05-Aug-24,
257,370,979,3331,05-Aug-24,
558,371,297,3625,16-Aug-24,
223,372,862,1085,05-Aug-24,
224,373,3314,2188,08-Aug-24,
221,374,2180,2499,05-Aug-24,
222,374,2181,3296,05-Aug-24,
296,375,3242,3370,05-Aug-24,
218,376,66,1873,05-Aug-24,ADY-078T?
217,377,63,3291,05-Aug-24,
105,378,2427,2385,05-Aug-24,
213,379,1635,1876,05-Aug-24,
211,380,617,1853,05-Aug-24,
212,380,618,1854,05-Aug-24,
210,381,3047,1943,05-Aug-24,
276,382,402,1987,05-Aug-24,
209,382,1582,935,05-Aug-24,
208,383,266,1352,05-Aug-24,
207,384,1318,1284,05-Aug-24,
914,385,1964,2175,16-Aug-24,PP
204,386,1426,3278,05-Aug-24,
205,386,1428,3279,05-Aug-24,
202,387,176,653,05-Aug-24,
203,387,177,644,05-Aug-24,
281,388,2010,3354,05-Aug-24,
