AccessCommitID,TableName,Filename,CommitSHA,CommitAt,CommitBy,CommitMessage,RowCount,FileChecksum,ImportSource,ImportNote
ACH1772969070399CSXD,molds,webmolds.csv,,2026-03-08T11:23:59.700Z,,extended-editor batch ACM177296903970090B5,1,,extended_editor,recordKey=mold:5736
ACH1772963837100HR1K,molds,webmolds.csv,,2026-03-08T09:56:50.156Z,,extended-editor batch ACM1772963810156PQ16,1,,extended_editor,recordKey=mold:5742
ACH1772962627276YSJI,molds,webmolds.csv,,2026-03-08T09:37:03.925Z,,extended-editor batch ACM1772962623925VKIO,1,,extended_editor,recordKey=mold:5740
