TeflonLogID,MoldID,SentDate,ExpectedDate,ReceivedDate,SupplierID,CoatingType,Reason,TeflonStatus,TeflonCost,Quality,TeflonNotes,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate
83,5239,4/10/2025,,4/15/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
84,5322,4/2/2025,,4/7/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
85,5327,3/25/2025,,3/28/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
86,5328,3/25/2025,,3/28/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
87,5337,3/13/2025,,3/18/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
88,5341,5/7/2025,,5/12/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
89,5344,6/6/2025,,6/12/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
90,5402,6/2/2025,,6/5/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
91,5404,8/25/2025,,8/28/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
92,5419,6/18/2025,,6/23/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
93,5427,6/17/2025,,6/20/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
94,5437,7/10/2025,,7/12/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
95,5456,7/23/2025,,7/28/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
96,5511,7/23/2025,,7/28/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
97,5526,8/22/2025,,8/27/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
98,5528,8/22/2025,,8/27/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
99,5529,9/1/2025,,9/4/2025,,,Historical Data,Completed,,,,System Migration,9/26/2025,,
