StatusLogID,MoldID,CutterID,ItemType,Status,Timestamp,EmployeeID,DestinationID,Notes,AuditDate,AuditType,SessionID,SessionName,SessionMode
SL1767948565767,95,,mold,AUDIT,2026-01-09T08:49:25.623Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948564443,93,,mold,AUDIT,2026-01-09T08:49:24.210Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948562982,90,,mold,AUDIT,2026-01-09T08:49:22.661Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948561461,88,,mold,AUDIT,2026-01-09T08:49:21.325Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948560244,87,,mold,AUDIT,2026-01-09T08:49:20.109Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948559016,86,,mold,AUDIT,2026-01-09T08:49:18.830Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948557778,85,,mold,AUDIT,2026-01-09T08:49:17.392Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948556275,65,,mold,AUDIT,2026-01-09T08:49:16.129Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948555035,5090,,mold,AUDIT,2026-01-09T08:49:14.885Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948553826,82,,mold,AUDIT,2026-01-09T08:49:13.397Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767948551470,81,,mold,AUDIT,2026-01-09T08:49:08.108Z,1,AREA-MOLDROOM,棚卸 / Kiểm kê,2026-01-09,AUDIT,,B-20260109-1-2,B
SL1767947218945,1064,,mold,AUDIT,2026-01-09T08:26:58.852Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947217823,1065,,mold,AUDIT,2026-01-09T08:26:57.523Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947216500,1075,,mold,AUDIT,2026-01-09T08:26:56.403Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947215271,1080,,mold,AUDIT,2026-01-09T08:26:55.172Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947213736,1077,,mold,AUDIT,2026-01-09T08:26:53.639Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947212504,1082,,mold,AUDIT,2026-01-09T08:26:52.207Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947161914,1076,,mold,AUDIT,2026-01-09T08:26:01.816Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
SL1767947160699,1937,,mold,AUDIT,2026-01-09T08:26:00.598Z,1,AREA-MOLDROOM,棚卸 / 棚卸（即時） / Kiểm kê ngay,2026-01-09,AUDIT,,20260109-1-Audit,INSTANT
